2024-10-09 15:09:00,535 - INFO - --- Starting Scenario: 2_player_heterogeneous_equiprobable_actions ---
2024-10-09 15:09:00,535 - INFO - Hyperparameters: n_agents=2, action_size=2, sigma_beta=0.5, alpha=1.3, beta_parameters=[0.63461776 0.36538224]
2024-10-09 15:09:00,540 - INFO - Episode 27: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.4516129 0.4516129], Joint Action Frequencies=[0.32258065 0.22580645 0.22580645 0.22580645], Iteration=32
2024-10-09 15:09:00,540 - INFO - Episode 28: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.46875 0.4375 ], Joint Action Frequencies=[0.3125  0.21875 0.25    0.21875], Iteration=33
2024-10-09 15:09:00,540 - INFO - Episode 29: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.45454545 0.42424242], Joint Action Frequencies=[0.33333333 0.21212121 0.24242424 0.21212121], Iteration=34
2024-10-09 15:09:00,540 - INFO - Episode 30: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.44117647 0.44117647], Joint Action Frequencies=[0.32352941 0.23529412 0.23529412 0.20588235], Iteration=35
2024-10-09 15:09:00,541 - INFO - Episode 31: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.42857143 0.45714286], Joint Action Frequencies=[0.31428571 0.25714286 0.22857143 0.2       ], Iteration=36
2024-10-09 15:09:00,541 - INFO - Episode 32: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.44444444 0.47222222], Joint Action Frequencies=[0.30555556 0.25       0.22222222 0.22222222], Iteration=37
2024-10-09 15:09:00,541 - INFO - Episode 33: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.45945946 0.48648649], Joint Action Frequencies=[0.2972973  0.24324324 0.21621622 0.24324324], Iteration=38
2024-10-09 15:09:00,541 - INFO - Episode 34: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.47368421 0.47368421], Joint Action Frequencies=[0.28947368 0.23684211 0.23684211 0.23684211], Iteration=39
2024-10-09 15:09:00,541 - INFO - Episode 35: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.46153846 0.46153846], Joint Action Frequencies=[0.30769231 0.23076923 0.23076923 0.23076923], Iteration=40
2024-10-09 15:09:00,541 - INFO - Episode 36: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.475 0.475], Joint Action Frequencies=[0.3   0.225 0.225 0.25 ], Iteration=41
2024-10-09 15:09:00,542 - INFO - Episode 37: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.46341463 0.48780488], Joint Action Frequencies=[0.29268293 0.24390244 0.2195122  0.24390244], Iteration=42
